fifth,max,bytes,first,fail_count,export-model,miou,p999,fourth,likely_failed_stderr,load-exported-model,total_img_s,p95,run_script_time,experiment_name,furious,meta-folder,batch_size,torchvision_version,autoquant,fast,argmax,median,gpu-preproc,batch-size,bytes_MiB,p99,task,torch_version,mean,environ,percentage,points-per-batch,num-images,allow-recompiles,third,total_time,baseline,second,total_ms_per_img
854ms,2527ms,4561654784.0,1823ms,,,,2355ms,1031ms,,,1.055782755138267img/s,1336ms,951.5431108474731,baseline_amg,,,1.0,0.20.1+cu124,,,222,871ms,,,4350.0,2185ms,amg,2.5.1+cu124,934ms,None,4.0,64,,,974ms,947.1645517349243s,None,1096ms,947.1645517349243ms
700ms,1299ms,4205527040.0,1299ms,0.0,,1.0,930ms,669ms,,,1.3669768283930892img/s,827ms,735.6518969535828,amg_ao,,,1.0,0.20.1+cu124,,,0,712ms,,,4010.0,881ms,amg,2.5.1+cu124,725ms,None,4.0,64,,,698ms,731.5412955284119s,,781ms,731.5412955284119ms
572ms,1984ms,35415179776.0,1124ms,0.0,,0.9999994533658028,1125ms,680ms,,,1.5592719648625888img/s,748ms,645.3250391483307,amg_ao_ppb_1024_batch_size_1_basic,,,1.0,0.20.1+cu124,,,109,617ms,,1,33774.0,796ms,amg,2.5.1+cu124,635ms,None,34.0,1024,,,708ms,641.3249404430389s,,728ms,641.3249404430389ms
310ms,1697576ms,34682723328.0,1697576ms,490.0,,0.9473377878175062,3673ms,307ms,,,0.4943685597326022img/s,406ms,2030.9961676597595,amg_ao_ppb_1024_batch_size_1_fast_autoquant_cold,,,1.0,0.20.1+cu124,autoquant,None,0,305ms,,1,33076.0,470ms,amg,2.5.1+cu124,2015ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_autoquant_inductor_cache_dir_batch_size_1'},34.0,1024,,,344ms,2022.7823560237885s,,1978ms,2022.7823560237885ms
310ms,89459ms,34682723328.0,89459ms,490.0,,0.9473377878175062,1393ms,268ms,,,2.4261730062853544img/s,403ms,417.51077127456665,amg_ao_ppb_1024_batch_size_1_fast_autoquant,,,1.0,0.20.1+cu124,autoquant,None,0,301ms,,1,33076.0,473ms,amg,2.5.1+cu124,404ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_autoquant_inductor_cache_dir_batch_size_1'},34.0,1024,,,303ms,412.1717607975006s,,1258ms,412.1717607975006ms
,,,,,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1,,,,"Traceback (most recent call last):
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 655, in <module>
    fire.Fire(main)
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 135, in Fire
    component_trace = _Fire(component, args, parsed_flag_args, context, name)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 468, in _Fire
    component, remaining_args = _CallAndUpdateTrace(
                                ^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 684, in _CallAndUpdateTrace
    component = fn(*varargs, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 541, in main
    export_model_fn(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 171, in export_model
    aot_compile(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 122, in aot_compile
    from torch.export import export_for_inference
ImportError: cannot import name 'export_for_inference' from 'torch.export' (/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/torch/export/__init__.py)
",,,,6.236372709274292,amg_ao_ppb_1024_batch_size_1_save_export_autoquant,,,,0.20.1+cu124,autoquant,,,,,1,,,amg,2.5.1+cu124,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_autoquant_inductor_cache_dir_batch_size_1'},,1024,0,,,,,,
,,,,,,,,,"Traceback (most recent call last):
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 655, in <module>
    fire.Fire(main)
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 135, in Fire
    component_trace = _Fire(component, args, parsed_flag_args, context, name)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 468, in _Fire
    component, remaining_args = _CallAndUpdateTrace(
                                ^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 684, in _CallAndUpdateTrace
    component = fn(*varargs, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 556, in main
    load_exported_model_fn(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 298, in load_exported_model
    assert path.exists(), f""Expected {path} to exist""
           ^^^^^^^^^^^^^
AssertionError: Expected /home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1/sam2_image_encoder.pt2 to exist
",/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1,,,6.6287336349487305,amg_ao_ppb_1024_batch_size_1_load_export_autoquant_cold,,,,0.20.1+cu124,autoquant,,,,,1,,,amg,2.5.1+cu124,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_load_export_autoquant_inductor_cache_dir_batch_size_1'},,1024,,,,,,,
,,,,,,,,,"Traceback (most recent call last):
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 655, in <module>
    fire.Fire(main)
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 135, in Fire
    component_trace = _Fire(component, args, parsed_flag_args, context, name)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 468, in _Fire
    component, remaining_args = _CallAndUpdateTrace(
                                ^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 684, in _CallAndUpdateTrace
    component = fn(*varargs, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 556, in main
    load_exported_model_fn(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 298, in load_exported_model
    assert path.exists(), f""Expected {path} to exist""
           ^^^^^^^^^^^^^
AssertionError: Expected /home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1/sam2_image_encoder.pt2 to exist
",/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1,,,6.7802979946136475,amg_ao_ppb_1024_batch_size_1_load_export_autoquant,,,,0.20.1+cu124,autoquant,,,,,1,,,amg,2.5.1+cu124,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_load_export_autoquant_inductor_cache_dir_batch_size_1'},,1024,,,,,,,
,,,,,,,,,"Traceback (most recent call last):
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 655, in <module>
    fire.Fire(main)
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 135, in Fire
    component_trace = _Fire(component, args, parsed_flag_args, context, name)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 468, in _Fire
    component, remaining_args = _CallAndUpdateTrace(
                                ^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 684, in _CallAndUpdateTrace
    component = fn(*varargs, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 556, in main
    load_exported_model_fn(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 298, in load_exported_model
    assert path.exists(), f""Expected {path} to exist""
           ^^^^^^^^^^^^^
AssertionError: Expected /home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1/sam2_image_encoder.pt2 to exist
",/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1,,,6.90657901763916,amg_ao_ppb_1024_batch_size_1_load_export_autoquant_gpu_preproc,,,,0.20.1+cu124,autoquant,,,,None,1,,,amg,2.5.1+cu124,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_load_export_autoquant_inductor_cache_dir_batch_size_1'},,1024,,,,,,,
,,,,,,,,,"Traceback (most recent call last):
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 655, in <module>
    fire.Fire(main)
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 135, in Fire
    component_trace = _Fire(component, args, parsed_flag_args, context, name)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 468, in _Fire
    component, remaining_args = _CallAndUpdateTrace(
                                ^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/.conda/envs/torch251/lib/python3.12/site-packages/fire/core.py"", line 684, in _CallAndUpdateTrace
    component = fn(*varargs, **kwargs)
                ^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/generate_data.py"", line 556, in main
    load_exported_model_fn(
  File ""/home/cpuhrsch/dev/ao/examples/sam2_amg_server/compile_export_utils.py"", line 298, in load_exported_model
    assert path.exists(), f""Expected {path} to exist""
           ^^^^^^^^^^^^^
AssertionError: Expected /home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1/sam2_image_encoder.pt2 to exist
",/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/exported_models/amg_ao_fast_autoquant_batch_size_1,,,6.931012392044067,amg_ao_ppb_1024_batch_size_1_fast_export_autoquant_cold,,,,0.20.1+cu124,autoquant,None,,,,1,,,amg,2.5.1+cu124,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_14/amg_fast_export_autoquant_inductor_cache_dir_batch_size_1'},,1024,,,,,,,
